success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant_id,response,stimulus,category,correct_response,naive_theory,concept,is_consistent,response_tf,correct,question_order,file_name
TRUE,1177,fullscreen,0,null,2181,p1f870lr3ad,frog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,1749,survey-text,1,2.0.0,3934,p1f870lr3ad,frog,"{""participant_id"":""frog""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,11699,html-keyboard-response,2,2.0.0,15636,p1f870lr3ad,frog,NA,<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,2421,html-keyboard-response,3,2.0.0,18058,p1f870lr3ad,frog,NA,<p>The next 20 statements will be about <b>Fractions</b>. Press any key to continue.</p>,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,4506,html-keyboard-response,4,2.0.0,22567,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">1/3 plus 1/3 is 1/3.</div>",Fractions,F,F,Addition,TRUE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,4198,html-keyboard-response,5,2.0.0,27268,p1f870lr3ad,frog,t,"<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>",Fractions,T3,T3,AttentionCheck,TRUE,T3,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,6131,html-keyboard-response,6,2.0.0,33901,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">There are numbers between 1/10 and 10/100.</div>",Fractions,F,T,Infinite density,FALSE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,2948,html-keyboard-response,7,2.0.0,37352,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">1/3 plus 1/3 is 2/3.</div>",Fractions,T,T,Addition,TRUE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,3507,html-keyboard-response,8,2.0.0,41361,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">All fractions are expressible as integers.</div>",Fractions,F,F,Conversion,TRUE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,4019,html-keyboard-response,9,2.0.0,45884,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">2/3 plus 2/4 is 2/7.</div>",Fractions,F,T,Addition,FALSE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,2818,html-keyboard-response,10,2.0.0,49205,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">1/17 is greater than 16/17.</div>",Fractions,F,F,Ordering,TRUE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,4758,html-keyboard-response,11,2.0.0,54465,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">4 divided by 2/1 is 2.</div>",Fractions,T,T,Division,TRUE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,6270,html-keyboard-response,12,2.0.0,61238,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">8 divided by 1/2 is 4.</div>",Fractions,F,T,Division,FALSE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,11820,html-keyboard-response,13,2.0.0,73560,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">8 divided by 2/1 is 3.</div>",Fractions,F,F,Division,TRUE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,4138,html-keyboard-response,14,2.0.0,78200,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">1/10 plus 1/10 is 1/5.</div>",Fractions,T,F,Addition,FALSE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,4538,html-keyboard-response,15,2.0.0,83240,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">All integers are expressible as fractions.</div>",Fractions,T,F,Conversion,FALSE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,3376,html-keyboard-response,16,2.0.0,87118,p1f870lr3ad,frog,m,"<div style=""font-size:30pt;"">There are numbers between 10 and 10.</div>",Fractions,F,F,Infinite density,TRUE,F,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,1531,html-keyboard-response,17,2.0.0,89151,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">There are numbers between 1 and 3.</div>",Fractions,T,T,Infinite density,TRUE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,8803,html-keyboard-response,18,2.0.0,98456,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">All decimals are expressible as fractions.</div>",Fractions,T,T,Conversion,TRUE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,3506,html-keyboard-response,19,2.0.0,102465,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">12/13 is greater than 1/13.</div>",Fractions,T,T,Ordering,TRUE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,3718,html-keyboard-response,20,2.0.0,106685,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">4 divided by 1/2 is 8.</div>",Fractions,T,F,Division,FALSE,T,TRUE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
NA,3633,html-keyboard-response,21,2.0.0,110820,p1f870lr3ad,frog,z,"<div style=""font-size:30pt;"">All fractions are expressible as decimals.</div>",Fractions,F,T,Conversion,FALSE,T,FALSE,NA,/Users/martincz/GitHub/COGS119/group_wi26_naive_theories/analysis/../data/raw_data/p1f870lr3ad_1772139911965.csv
