"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","9847","fullscreen","0","null","10849","pafnkdqo3z3","lemur","","","","","","","","","",""
"","1238","survey-text","1","2.0.0","12090","pafnkdqo3z3","lemur","{""participant_id"":""lemur""}","","","","","","","","",""
"","10119","html-keyboard-response","2","2.0.0","22210","pafnkdqo3z3","lemur"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","2327","html-keyboard-response","3","2.0.0","24538","pafnkdqo3z3","lemur"," ","<p>The next 20 statements will be about <b>Matter</b>. Press any key to continue.</p>","","","","","","","",""
"","2607","html-keyboard-response","4","2.0.0","27147","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Atoms are weightless.</div>","Matter","F","T","Atom","false","F","true",""
"","2737","html-keyboard-response","5","2.0.0","30386","pafnkdqo3z3","lemur","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Matter","T3","T3","AttentionCheck","true","T3","true",""
"","1699","html-keyboard-response","6","2.0.0","32587","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Atoms are visible to the naked eye.</div>","Matter","F","F","Atom","true","F","true",""
"","3099","html-keyboard-response","7","2.0.0","36188","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Foam is denser than brick.</div>","Matter","F","F","Density","true","F","true",""
"","2361","html-keyboard-response","8","2.0.0","39052","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A grain of sand can be cut in half.</div>","Matter","T","F","Divisibility","false","T","true",""
"","1460","html-keyboard-response","9","2.0.0","41015","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Ice is denser than water.</div>","Matter","F","T","Density","false","F","true",""
"","2270","html-keyboard-response","10","2.0.0","43787","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Fire is composed of matter.</div>","Matter","F","T","Mass","false","T","false",""
"","3675","html-keyboard-response","11","2.0.0","47964","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">A pound of steel weighs more than a ton of steel.</div>","Matter","F","F","Weight","true","F","true",""
"","6790","html-keyboard-response","12","2.0.0","55256","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A liter of water weighs more than a liter of ice.</div>","Matter","T","F","Weight","false","T","true",""
"","2677","html-keyboard-response","13","2.0.0","58435","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Rocks are composed of matter.</div>","Matter","T","T","Mass","true","T","true",""
"","5018","html-keyboard-response","14","2.0.0","63955","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A liter of water weighs more than a liter of air.</div>","Matter","T","T","Weight","true","T","true",""
"","7795","html-keyboard-response","15","2.0.0","72253","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">A cold penny is denser than a hot penny.</div>","Matter","T","F","Density","false","F","false",""
"","1386","html-keyboard-response","16","2.0.0","74141","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A log can be cut in half.</div>","Matter","T","T","Divisibility","true","T","true",""
"","1613","html-keyboard-response","17","2.0.0","76256","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Numbers are composed of matter.</div>","Matter","F","F","Mass","true","F","true",""
"","1063","html-keyboard-response","18","2.0.0","77821","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Air is composed of matter.</div>","Matter","T","F","Mass","false","T","true",""
"","4546","html-keyboard-response","19","2.0.0","82869","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Atoms are the constituents of matter.</div>","Matter","T","T","Atom","true","T","true",""
"","2607","html-keyboard-response","20","2.0.0","85979","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">A pound of steel weighs more than a pound of feathers.</div>","Matter","F","T","Weight","false","F","true",""
"","4322","html-keyboard-response","21","2.0.0","90803","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Atoms are mostly empty space.</div>","Matter","T","F","Atom","false","T","true",""
"","1325","html-keyboard-response","22","2.0.0","92630","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">A shadow can be cut in half.</div>","Matter","F","T","Divisibility","false","F","true",""
"","1400","html-keyboard-response","23","2.0.0","94532","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">An idea can be cut in half.</div>","Matter","F","F","Divisibility","true","F","true",""
"","1427","html-keyboard-response","24","2.0.0","96461","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Steel is denser than foam.</div>","Matter","T","T","Density","true","T","true",""
"","1680","html-keyboard-response","25","2.0.0","98643","pafnkdqo3z3","lemur","m","<p>The next 20 statements will be about <b>Physiology</b>. Press any key to continue.</p>","","","","","","","",""
"","1164","html-keyboard-response","26","2.0.0","99809","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">The sun is alive.</div>","Physiology","F","T","Life","false","F","true",""
"","2466","html-keyboard-response","27","2.0.0","102776","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Bacteria turn food into energy.</div>","Physiology","T","F","Metabolism","false","T","true",""
"","1141","html-keyboard-response","28","2.0.0","104419","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Tigers can reproduce.</div>","Physiology","T","T","Reproduction","true","T","true",""
"","8668","html-keyboard-response","29","2.0.0","113590","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Plants turn food into energy.</div>","Physiology","F","T","Metabolism","false","T","false",""
"","3923","html-keyboard-response","30","2.0.0","118016","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A baby can be a niece or a nephew.</div>","Physiology","T","T","Kinship","true","T","true",""
"","1822","html-keyboard-response","31","2.0.0","120341","pafnkdqo3z3","lemur","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Physiology","T3","T3","AttentionCheck","true","T3","true",""
"","1289","html-keyboard-response","32","2.0.0","122132","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Fish are alive.</div>","Physiology","T","T","Life","true","T","true",""
"","2118","html-keyboard-response","33","2.0.0","124753","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">A baby can be identical to an older sibling.</div>","Physiology","F","T","Kinship","false","F","true",""
"","2011","html-keyboard-response","34","2.0.0","127266","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Rocks are alive.</div>","Physiology","F","F","Life","true","F","true",""
"","1041","html-keyboard-response","35","2.0.0","128810","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Ferns can reproduce.</div>","Physiology","T","F","Reproduction","false","T","true",""
"","1466","html-keyboard-response","36","2.0.0","130778","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Clouds can die.</div>","Physiology","F","T","Death","false","F","true",""
"","1257","html-keyboard-response","37","2.0.0","132537","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Caterpillars can reproduce.</div>","Physiology","F","T","Reproduction","false","T","false",""
"","2695","html-keyboard-response","38","2.0.0","135735","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">People turn food into energy.</div>","Physiology","T","T","Metabolism","true","T","true",""
"","834","html-keyboard-response","39","2.0.0","137071","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Turtles can die.</div>","Physiology","T","T","Death","true","T","true",""
"","2759","html-keyboard-response","40","2.0.0","140333","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A baby can be a mother or a father.</div>","Physiology","F","F","Kinship","true","T","false",""
"","920","html-keyboard-response","41","2.0.0","141755","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Coral is alive.</div>","Physiology","T","F","Life","false","T","true",""
"","1312","html-keyboard-response","42","2.0.0","143568","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">A baby can be an uncle or an aunt.</div>","Physiology","T","F","Kinship","false","T","true",""
"","1043","html-keyboard-response","43","2.0.0","145114","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Screwdrivers can die.</div>","Physiology","F","F","Death","true","F","true",""
"","1345","html-keyboard-response","44","2.0.0","146961","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Mushrooms can die.</div>","Physiology","T","F","Death","false","T","true",""
"","816","html-keyboard-response","45","2.0.0","148280","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Chairs can reproduce.</div>","Physiology","F","F","Reproduction","true","F","true",""
"","1594","html-keyboard-response","46","2.0.0","150376","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Rocks turn food into energy.</div>","Physiology","F","F","Metabolism","true","F","true",""
"","1411","html-keyboard-response","47","2.0.0","152289","pafnkdqo3z3","lemur","x","<p>The next 20 statements will be about <b>Fractions</b>. Press any key to continue.</p>","","","","","","","",""
"","2451","html-keyboard-response","48","2.0.0","154741","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">1/10 plus 1/10 is 1/5.</div>","Fractions","T","F","Addition","false","T","true",""
"","1806","html-keyboard-response","49","2.0.0","157050","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">1/13 is greater than 1/30.</div>","Fractions","T","F","Ordering","false","T","true",""
"","4927","html-keyboard-response","50","2.0.0","162479","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">8 divided by 2/1 is 3.</div>","Fractions","F","F","Division","true","F","true",""
"","3561","html-keyboard-response","51","2.0.0","166542","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">There are numbers between 1/10 and 10/100.</div>","Fractions","F","T","Infinite density","false","T","false",""
"","4330","html-keyboard-response","52","2.0.0","171374","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">All fractions are expressible as integers.</div>","Fractions","F","F","Conversion","true","T","false",""
"","1415","html-keyboard-response","53","2.0.0","173292","pafnkdqo3z3","lemur","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Fractions","T3","T3","AttentionCheck","true","T3","true",""
"","2799","html-keyboard-response","54","2.0.0","176593","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">12/13 is greater than 1/13.</div>","Fractions","T","T","Ordering","true","T","true",""
"","2150","html-keyboard-response","55","2.0.0","179245","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">1/17 is greater than 1/9.</div>","Fractions","F","T","Ordering","false","F","true",""
"","1765","html-keyboard-response","56","2.0.0","181513","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">1/17 is greater than 16/17.</div>","Fractions","F","F","Ordering","true","F","true",""
"","2383","html-keyboard-response","57","2.0.0","184398","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">There are numbers between 10 and 10.</div>","Fractions","F","F","Infinite density","true","F","true",""
"","2215","html-keyboard-response","58","2.0.0","187114","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">1/3 plus 1/3 is 1/3.</div>","Fractions","F","F","Addition","true","F","true",""
"","1332","html-keyboard-response","59","2.0.0","188948","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">There are numbers between 1 and 3.</div>","Fractions","T","T","Infinite density","true","T","true",""
"","1916","html-keyboard-response","60","2.0.0","191366","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">4 divided by 1/2 is 8.</div>","Fractions","T","F","Division","false","T","true",""
"","1483","html-keyboard-response","61","2.0.0","193350","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">4 divided by 2/1 is 2.</div>","Fractions","T","T","Division","true","T","true",""
"","5029","html-keyboard-response","62","2.0.0","198882","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">All fractions are expressible as decimals.</div>","Fractions","F","T","Conversion","false","T","false",""
"","1855","html-keyboard-response","63","2.0.0","201240","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">There are numbers between 1/3 and 1/2.</div>","Fractions","T","F","Infinite density","false","T","true",""
"","7094","html-keyboard-response","64","2.0.0","208837","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">All decimals are expressible as fractions.</div>","Fractions","T","T","Conversion","true","T","true",""
"","4486","html-keyboard-response","65","2.0.0","213825","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">2/3 plus 2/4 is 2/7.</div>","Fractions","F","T","Addition","false","F","true",""
"","5271","html-keyboard-response","66","2.0.0","219599","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">1/3 plus 1/3 is 2/3.</div>","Fractions","T","T","Addition","true","T","true",""
"","2525","html-keyboard-response","67","2.0.0","222626","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">All integers are expressible as fractions.</div>","Fractions","T","F","Conversion","false","T","true",""
"","4122","html-keyboard-response","68","2.0.0","227250","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">8 divided by 1/2 is 4.</div>","Fractions","F","T","Division","false","F","true",""
"","1807","html-keyboard-response","69","2.0.0","229560","pafnkdqo3z3","lemur","m","<p>The next 20 statements will be about <b>Genetics</b>. Press any key to continue.</p>","","","","","","","",""
"","4214","html-keyboard-response","70","2.0.0","233775","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a blue-eyed baby.</div>","Genetics","T","F","Dominance","false","T","true",""
"","2590","html-keyboard-response","71","2.0.0","236867","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Viruses can change one's genome.</div>","Genetics","T","F","Mutation","false","F","false",""
"","2547","html-keyboard-response","72","2.0.0","239916","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Immunity to chickenpox is heritable.</div>","Genetics","F","T","Heritability","false","F","true",""
"","1958","html-keyboard-response","73","2.0.0","242375","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Skin cells have more chromosomes than egg cells.</div>","Genetics","T","F","Chromosome","false","T","true",""
"","3565","html-keyboard-response","74","2.0.0","246442","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in hair.</div>","Genetics","F","F","Expression","true","T","false",""
"","4409","html-keyboard-response","75","2.0.0","251354","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the eye.</div>","Genetics","T","T","Expression","true","T","true",""
"","1323","html-keyboard-response","76","2.0.0","253180","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Sunscreen can change one's genome.</div>","Genetics","F","F","Mutation","true","F","true",""
"","1950","html-keyboard-response","77","2.0.0","255632","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Adults have more chromosomes than children.</div>","Genetics","F","T","Chromosome","false","F","true",""
"","1385","html-keyboard-response","78","2.0.0","257520","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">A blue-eyed baby must have two blue-eyed parents.</div>","Genetics","F","T","Dominance","false","F","true",""
"","1414","html-keyboard-response","79","2.0.0","259436","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Exercise can change one's genome.</div>","Genetics","F","T","Mutation","false","T","false",""
"","1270","html-keyboard-response","80","2.0.0","261209","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Intelligence is heritable.</div>","Genetics","T","F","Heritability","false","T","true",""
"","1253","html-keyboard-response","81","2.0.0","262964","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Radiation can change one's genome.</div>","Genetics","T","T","Mutation","true","T","true",""
"","2418","html-keyboard-response","82","2.0.0","265884","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Humans have more chromosomes than mosquitoes.</div>","Genetics","T","T","Chromosome","true","T","true",""
"","1178","html-keyboard-response","83","2.0.0","267565","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Pierced ears are heritable.</div>","Genetics","F","F","Heritability","true","F","true",""
"","1516","html-keyboard-response","84","2.0.0","269583","pafnkdqo3z3","lemur","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Genetics","T3","T3","AttentionCheck","true","T3","true",""
"","4400","html-keyboard-response","85","2.0.0","274485","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Genes that code for eye color can be found in tears.</div>","Genetics","F","T","Expression","false","F","true",""
"","1954","html-keyboard-response","86","2.0.0","276942","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a brown-eyed baby.</div>","Genetics","T","T","Dominance","true","T","true",""
"","1079","html-keyboard-response","87","2.0.0","278523","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Men have more chromosomes than women.</div>","Genetics","F","F","Chromosome","true","F","true",""
"","1316","html-keyboard-response","88","2.0.0","280342","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Hair color is heritable.</div>","Genetics","T","T","Heritability","true","T","true",""
"","4607","html-keyboard-response","89","2.0.0","285451","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the liver.</div>","Genetics","T","F","Expression","false","T","true",""
"","2635","html-keyboard-response","90","2.0.0","288588","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Two blue-eyed parents could have a brown-eyed baby.</div>","Genetics","F","F","Dominance","true","F","true",""
"","1210","html-keyboard-response","91","2.0.0","290300","pafnkdqo3z3","lemur","m","<p>The next 20 statements will be about <b>Evolution</b>. Press any key to continue.</p>","","","","","","","",""
"","2486","html-keyboard-response","92","2.0.0","292787","pafnkdqo3z3","lemur","z","<div style=""font-size:30pt;"">Evolution requires climate stability.</div>","Evolution","F","F","Variation","true","T","false",""
"","1877","html-keyboard-response","93","2.0.0","295165","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Humans are descended from tree-dwelling creatures.</div>","Evolution","T","T","Phylogeny","true","F","false",""
"","3958","html-keyboard-response","94","2.0.0","299625","pafnkdqo3z3","lemur","m","<div style=""font-size:30pt;"">Whales are more closely related to plants than fish.</div>","Evolution","F","F","Common ancestry","true","F","true",""
