"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","2616","fullscreen","0","null","3623","pk2clxpcom9","whale","","","","","","","","","",""
"","3695","survey-text","1","2.0.0","7326","pk2clxpcom9","whale","{""participant_id"":""whale""}","","","","","","","","",""
"","4627","html-keyboard-response","2","2.0.0","11956","pk2clxpcom9","whale"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1510","html-keyboard-response","3","2.0.0","13468","pk2clxpcom9","whale"," ","<p>The next 20 statements will be about <b>Physiology</b>. Press any key to continue.</p>","","","","","","","",""
"","1594","html-keyboard-response","4","2.0.0","15064","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">People turn food into energy.</div>","Physiology","T","T","Metabolism","true","T","true",""
"","5233","html-keyboard-response","5","2.0.0","20802","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">A baby can be an uncle or an aunt.</div>","Physiology","T","F","Kinship","false","F","false",""
"","2012","html-keyboard-response","6","2.0.0","23322","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Tigers can reproduce.</div>","Physiology","T","T","Reproduction","true","T","true",""
"","2676","html-keyboard-response","7","2.0.0","26506","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Clouds can die.</div>","Physiology","F","T","Death","false","F","true",""
"","1375","html-keyboard-response","8","2.0.0","28398","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Rocks are alive.</div>","Physiology","F","F","Life","true","F","true",""
"","1514","html-keyboard-response","9","2.0.0","30417","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Plants turn food into energy.</div>","Physiology","F","T","Metabolism","false","T","false",""
"","11760","html-keyboard-response","10","2.0.0","42687","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Ferns can reproduce.</div>","Physiology","T","F","Reproduction","false","T","true",""
"","6924","html-keyboard-response","11","2.0.0","50121","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">A baby can be a niece or a nephew.</div>","Physiology","T","T","Kinship","true","T","true",""
"","1146","html-keyboard-response","12","2.0.0","51780","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Turtles can die.</div>","Physiology","T","T","Death","true","T","true",""
"","178","html-keyboard-response","13","2.0.0","52461","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Screwdrivers can die.</div>","Physiology","F","F","Death","true","T","false",""
"","95","html-keyboard-response","14","2.0.0","53061","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Fish are alive.</div>","Physiology","T","T","Life","true","T","true",""
"","158","html-keyboard-response","15","2.0.0","53734","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Chairs can reproduce.</div>","Physiology","F","F","Reproduction","true","T","false",""
"","227","html-keyboard-response","16","2.0.0","54473","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Mushrooms can die.</div>","Physiology","T","F","Death","false","T","true",""
"","184","html-keyboard-response","17","2.0.0","55162","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">The sun is alive.</div>","Physiology","F","T","Life","false","T","false",""
"","267","html-keyboard-response","18","2.0.0","55933","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Rocks turn food into energy.</div>","Physiology","F","F","Metabolism","true","T","false",""
"","58","html-keyboard-response","19","2.0.0","56507","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Caterpillars can reproduce.</div>","Physiology","F","T","Reproduction","false","T","false",""
"","18","html-keyboard-response","20","2.0.0","57036","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Coral is alive.</div>","Physiology","T","F","Life","false","T","true",""
"","11","html-keyboard-response","21","2.0.0","57558","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">A baby can be a mother or a father.</div>","Physiology","F","F","Kinship","true","T","false",""
"","65","html-keyboard-response","22","2.0.0","58133","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">A baby can be identical to an older sibling.</div>","Physiology","F","T","Kinship","false","T","false",""
"","195","html-keyboard-response","23","2.0.0","58847","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Physiology","T3","T3","AttentionCheck","true","T","false",""
"","47","html-keyboard-response","24","2.0.0","59399","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Bacteria turn food into energy.</div>","Physiology","T","F","Metabolism","false","T","true",""
"","17","html-keyboard-response","25","2.0.0","59931","pk2clxpcom9","whale","z","<p>The next 20 statements will be about <b>Genetics</b>. Press any key to continue.</p>","","","","","","","",""
"","152","html-keyboard-response","26","2.0.0","60085","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the eye.</div>","Genetics","T","T","Expression","true","T","true",""
"","110","html-keyboard-response","27","2.0.0","60711","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in tears.</div>","Genetics","F","T","Expression","false","T","false",""
"","150","html-keyboard-response","28","2.0.0","61375","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the liver.</div>","Genetics","T","F","Expression","false","T","true",""
"","97","html-keyboard-response","29","2.0.0","61981","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Men have more chromosomes than women.</div>","Genetics","F","F","Chromosome","true","T","false",""
"","160","html-keyboard-response","30","2.0.0","62655","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Two blue-eyed parents could have a brown-eyed baby.</div>","Genetics","F","F","Dominance","true","T","false",""
"","154","html-keyboard-response","31","2.0.0","63321","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Pierced ears are heritable.</div>","Genetics","F","F","Heritability","true","T","false",""
"","61","html-keyboard-response","32","2.0.0","63886","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in hair.</div>","Genetics","F","F","Expression","true","T","false",""
"","169","html-keyboard-response","33","2.0.0","64558","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a brown-eyed baby.</div>","Genetics","T","T","Dominance","true","T","true",""
"","53","html-keyboard-response","34","2.0.0","65115","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Humans have more chromosomes than mosquitoes.</div>","Genetics","T","T","Chromosome","true","T","true",""
"","2","html-keyboard-response","35","2.0.0","65632","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Hair color is heritable.</div>","Genetics","T","T","Heritability","true","T","true",""
"","83","html-keyboard-response","36","2.0.0","66229","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Sunscreen can change one's genome.</div>","Genetics","F","F","Mutation","true","F","true",""
"","27","html-keyboard-response","37","2.0.0","66773","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Radiation can change one's genome.</div>","Genetics","T","T","Mutation","true","T","true",""
"","20","html-keyboard-response","38","2.0.0","67301","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Skin cells have more chromosomes than egg cells.</div>","Genetics","T","F","Chromosome","false","F","false",""
"","123","html-keyboard-response","39","2.0.0","67936","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Immunity to chickenpox is heritable.</div>","Genetics","F","T","Heritability","false","F","true",""
"","37","html-keyboard-response","40","2.0.0","68479","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Exercise can change one's genome.</div>","Genetics","F","T","Mutation","false","F","true",""
"","48","html-keyboard-response","41","2.0.0","69040","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Intelligence is heritable.</div>","Genetics","T","F","Heritability","false","T","true",""
"","24","html-keyboard-response","42","2.0.0","69568","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Viruses can change one's genome.</div>","Genetics","T","F","Mutation","false","F","false",""
"","698","html-keyboard-response","43","2.0.0","70780","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Genetics","T3","T3","AttentionCheck","true","T","false",""
"","5467","html-keyboard-response","44","2.0.0","76753","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Adults have more chromosomes than children.</div>","Genetics","F","T","Chromosome","false","F","true",""
"","1175","html-keyboard-response","45","2.0.0","78431","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">A blue-eyed baby must have two blue-eyed parents.</div>","Genetics","F","T","Dominance","false","F","true",""
"","82","html-keyboard-response","46","2.0.0","79017","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Two brown-eyed parents could have a blue-eyed baby.</div>","Genetics","T","F","Dominance","false","F","false",""
"","81","html-keyboard-response","47","2.0.0","79615","pk2clxpcom9","whale","z","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
"","64","html-keyboard-response","48","2.0.0","79680","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Constant motion requires constant force.</div>","Mechanics","F","T","Acceleration","false","F","true",""
"","253","html-keyboard-response","49","2.0.0","80439","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Forces can be straight or curved.</div>","Mechanics","F","T","Force","false","F","true",""
"","282","html-keyboard-response","50","2.0.0","81227","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Constant speed requires constant acceleration.</div>","Mechanics","F","F","Acceleration","true","F","true",""
"","116","html-keyboard-response","51","2.0.0","81851","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Constant force can yield constant rest.</div>","Mechanics","T","F","Acceleration","false","T","true",""
"","125","html-keyboard-response","52","2.0.0","82491","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Forces can be transferred from one object to another.</div>","Mechanics","F","T","Momentum","false","F","true",""
"","76","html-keyboard-response","53","2.0.0","83073","pk2clxpcom9","whale","z","<div style=""font-size:30pt;"">Heavy balls fall through air faster than light balls.</div>","Mechanics","F","T","Gravity","false","T","false",""
"","49","html-keyboard-response","54","2.0.0","83624","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Forces can be strong or weak.</div>","Mechanics","T","T","Force","true","F","false",""
"","1805","html-keyboard-response","55","2.0.0","85943","pk2clxpcom9","whale","m","<div style=""font-size:30pt;"">Bright objects fall through air faster than dark objects.</div>","Mechanics","F","F","Gravity","true","F","true",""
