"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"","1388","html-keyboard-response","60","2.0.0","286637","ph0b0mc379o","swan","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Astronomy","T3","T3","AttentionCheck","true","T3","true",""
"","2863","html-keyboard-response","61","2.0.0","290002","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Planets are more massive than moons.</div>","Astronomy","T","T","Planet","true","T","true",""
"","1785","html-keyboard-response","62","2.0.0","292288","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">The sun produces sound.</div>","Astronomy","F","F","Star","true","T","false",""
"","1503","html-keyboard-response","63","2.0.0","294292","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">The earth's tilt causes the seasons.</div>","Astronomy","T","F","Season","false","T","true",""
"","2041","html-keyboard-response","64","2.0.0","296835","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Stars are more massive than planets.</div>","Astronomy","T","F","Planet","false","T","true",""
"","3566","html-keyboard-response","65","2.0.0","300903","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Phases of the moon are caused by changes in illumination.</div>","Astronomy","T","T","Lunar phase","true","F","false",""
"","2115","html-keyboard-response","66","2.0.0","303519","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the earth's shadow.</div>","Astronomy","F","T","Lunar phase","false","T","false",""
"","3421","html-keyboard-response","67","2.0.0","307442","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Asteroids are more massive than planets.</div>","Astronomy","F","F","Planet","true","F","true",""
"","1214","html-keyboard-response","68","2.0.0","309158","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">The sun produces gravity.</div>","Astronomy","T","F","Star","false","T","true",""
"","948","html-keyboard-response","69","2.0.0","310609","ph0b0mc379o","swan","z","<p>The next 20 statements will be about <b>Evolution</b>. Press any key to continue.</p>","","","","","","","",""
"","1245","html-keyboard-response","70","2.0.0","311855","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Evolution requires long periods of time.</div>","Evolution","F","T","Variation","false","T","false",""
"","1620","html-keyboard-response","71","2.0.0","313976","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Most organisms are adapted to their environment.</div>","Evolution","T","T","Selection","true","T","true",""
"","2690","html-keyboard-response","72","2.0.0","317168","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Most organisms have plenty to eat.</div>","Evolution","F","T","Selection","false","F","true",""
"","1268","html-keyboard-response","73","2.0.0","318939","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Biological species evolve.</div>","Evolution","T","T","Adaptation","true","T","true",""
"","6042","html-keyboard-response","74","2.0.0","325483","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Apes are more closely related to monkeys than humans.</div>","Evolution","F","T","Common ancestry","false","F","true",""
"","1761","html-keyboard-response","75","2.0.0","327747","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Humans are descended from chimpanzees.</div>","Evolution","F","T","Phylogeny","false","F","true",""
"","1749","html-keyboard-response","76","2.0.0","329999","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Evolution requires climate stability.</div>","Evolution","F","F","Variation","true","F","true",""
"","2550","html-keyboard-response","77","2.0.0","333051","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Inanimate objects evolve.</div>","Evolution","F","F","Adaptation","true","F","true",""
"","1524","html-keyboard-response","78","2.0.0","335077","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Humans are descended from sea-dwelling creatures.</div>","Evolution","T","F","Phylogeny","false","T","true",""
"","4811","html-keyboard-response","79","2.0.0","340390","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Humans are descended from plants.</div>","Evolution","F","F","Phylogeny","true","F","true",""
"","1847","html-keyboard-response","80","2.0.0","342738","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Humans are descended from tree-dwelling creatures.</div>","Evolution","T","T","Phylogeny","true","T","true",""
"","4183","html-keyboard-response","81","2.0.0","347424","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Whales are more closely related to plants than fish.</div>","Evolution","F","F","Common ancestry","true","F","true",""
"","1967","html-keyboard-response","82","2.0.0","349893","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Whales are more closely related to humans than fish.</div>","Evolution","T","F","Common ancestry","false","T","true",""
"","1710","html-keyboard-response","83","2.0.0","352105","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Computer viruses evolve.</div>","Evolution","T","F","Adaptation","false","F","false",""
"","2357","html-keyboard-response","84","2.0.0","354965","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Humans are more closely related to apes than monkeys.</div>","Evolution","T","T","Common ancestry","true","T","true",""
"","1778","html-keyboard-response","85","2.0.0","357245","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Evolution requires differential survival.</div>","Evolution","T","T","Variation","true","T","true",""
"","1849","html-keyboard-response","86","2.0.0","359596","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Individual organisms evolve.</div>","Evolution","F","T","Adaptation","false","F","true",""
"","1943","html-keyboard-response","87","2.0.0","362040","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Most organisms live in temperate climates.</div>","Evolution","F","F","Selection","true","F","true",""
"","2172","html-keyboard-response","88","2.0.0","364713","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Evolution requires within-species variation.</div>","Evolution","T","F","Variation","false","T","true",""
"","3359","html-keyboard-response","89","2.0.0","368574","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Most organisms die before leaving offspring.</div>","Evolution","T","F","Selection","false","F","false",""
"","1482","html-keyboard-response","90","2.0.0","370558","ph0b0mc379o","swan","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Evolution","T3","T3","AttentionCheck","true","T3","true",""
"","980","html-keyboard-response","91","2.0.0","372040","ph0b0mc379o","swan","z","<p>The next 20 statements will be about <b>Fractions</b>. Press any key to continue.</p>","","","","","","","",""
"","3321","html-keyboard-response","92","2.0.0","375362","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">12/13 is greater than 1/13.</div>","Fractions","T","T","Ordering","true","T","true",""
"","1782","html-keyboard-response","93","2.0.0","377645","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">All fractions are expressible as decimals.</div>","Fractions","F","T","Conversion","false","T","false",""
"","4046","html-keyboard-response","94","2.0.0","382193","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">8 divided by 1/2 is 4.</div>","Fractions","F","T","Division","false","F","true",""
"","1873","html-keyboard-response","95","2.0.0","384567","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">1/17 is greater than 16/17.</div>","Fractions","F","F","Ordering","true","F","true",""
"","2328","html-keyboard-response","96","2.0.0","387396","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">1/3 plus 1/3 is 1/3.</div>","Fractions","F","F","Addition","true","F","true",""
"","1964","html-keyboard-response","97","2.0.0","389861","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">All integers are expressible as fractions.</div>","Fractions","T","F","Conversion","false","T","true",""
"","3369","html-keyboard-response","98","2.0.0","393732","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">4 divided by 2/1 is 2.</div>","Fractions","T","T","Division","true","T","true",""
"","3144","html-keyboard-response","99","2.0.0","397378","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">1/10 plus 1/10 is 1/5.</div>","Fractions","T","F","Addition","false","T","true",""
"","2043","html-keyboard-response","100","2.0.0","399922","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">1/3 plus 1/3 is 2/3.</div>","Fractions","T","T","Addition","true","T","true",""
